26222,7514481.417,4686625.242,587.586
26223,7514470.817,4686625.163,587.554
26224,7514459.967,4686632.063,587.573
28813,7514505.722,4686494.467,591.288
28814,7514530.022,4686503.376,591.379
28866,7514470.15,4686602.509,588.329
28868,7514487.046,4686608.283,587.637
28869,7514494.825,4686584.344,588.393
28870,7514499.774,4686564.254,589.091
28871,7514503.184,4686555.155,589.506
28872,7514503.184,4686555.145,589.506
28873,7514503.524,4686554.545,589.565
28874,7514507.354,4686547.755,589.966
28875,7514517.393,4686527.855,590.815
28876,7514510.193,4686523.306,590.781
28877,7514496.743,4686519.987,590.76
28878,7514495.233,4686528.076,590.703
28879,7514492.013,4686539.106,590.197
28880,7514481.889,4686567.022,591.376
28881,7514481.06,4686569.307,589.319
28882,7514470.967,4686600.137,588.421
38854,7514520.723,4686522.785,590.913
38857,7514498.063,4686514.967,590.604
38858,7514497.79,4686516.01,590.564
